Project	Task	CATEGORY	TOTAL_READS	PF_READS	PCT_PF_READS	PF_NOISE_READS	PF_READS_ALIGNED	PCT_PF_READS_ALIGNED	PF_ALIGNED_BASES	PF_HQ_ALIGNED_READS	PF_HQ_ALIGNED_BASES	PF_HQ_ALIGNED_Q20_BASES	PF_HQ_MEDIAN_MISMATCHES	PF_MISMATCH_RATE	PF_HQ_ERROR_RATE	PF_INDEL_RATE	MEAN_READ_LENGTH	READS_ALIGNED_IN_PAIRS	PCT_READS_ALIGNED_IN_PAIRS	PF_READS_IMPROPER_PAIRS	PCT_PF_READS_IMPROPER_PAIRS	BAD_CYCLES	STRAND_BALANCE	PCT_CHIMERAS	PCT_ADAPTER	SAMPLE	LIBRARY	READ_GROUP
kfdrc-harmonization/sd-46sk55a3	alignment-BS_ETXYX56Z	SECOND_OF_PAIR	375885888	375885888	1	0	373809451	0.994476	54778158920	358577624	52880659205	50275151252	0	0.009377	0.008887	0.0002	150	373785003	0.999935	7587758	0.020298	0	0.498671	0.026182	0.000014	BS_ETXYX56Z		
kfdrc-harmonization/sd-46sk55a3	alignment-BS_ETXYX56Z	PAIR	751771778	751771778	1	0	749670893	0.997205	110655634070	720218882	106816709986	103196088516	0	0.006949	0.006482	0.000204	150	747570008	0.997198	17227505	0.02298	0	0.499194	0.025804	0.000009	BS_ETXYX56Z		
kfdrc-harmonization/sd-46sk55a3	alignment-BS_ETXYX56Z	FIRST_OF_PAIR	375885890	375885890	1	0	375861442	0.999935	55877475150	361641258	53936050781	52920937264	0	0.004568	0.004124	0.000208	150	373785005	0.994476	9639747	0.025647	0	0.499714	0.025427	0.000004	BS_ETXYX56Z	GMKFWC.CDH06-0004-1_2AMP	
kfdrc-harmonization/sd-46sk55a3	alignment-BS_ETXYX56Z	SECOND_OF_PAIR	375885888	375885888	1	0	373809451	0.994476	54778158920	358577624	52880659205	50275151252	0	0.009377	0.008887	0.0002	150	373785003	0.999935	7587758	0.020298	0	0.498671	0.026182	0.000014	BS_ETXYX56Z	GMKFWC.CDH06-0004-1_2AMP	
kfdrc-harmonization/sd-46sk55a3	alignment-BS_ETXYX56Z	PAIR	751771778	751771778	1	0	749670893	0.997205	110655634070	720218882	106816709986	103196088516	0	0.006949	0.006482	0.000204	150	747570008	0.997198	17227505	0.02298	0	0.499194	0.025804	0.000009	BS_ETXYX56Z	GMKFWC.CDH06-0004-1_2AMP	
kfdrc-harmonization/sd-46sk55a3	alignment-BS_YD4Z11NZ	FIRST_OF_PAIR	420660632	420660632	1	0	420640032	0.999951	62751190931	410090971	61228099892	60046741492	0	0.004126	0.004037	0.000173	150	418715584	0.995425	3825100	0.009094	0	0.499839	0.005944	0.000004	BS_YD4Z11NZ		
kfdrc-harmonization/sd-46sk55a3	alignment-BS_YD4Z11NZ	SECOND_OF_PAIR	420660632	420660632	1	0	418736184	0.995425	61745038050	407958838	60262059549	57410484228	0	0.008547	0.008423	0.000167	150	418715584	0.999951	1921252	0.004588	0	0.499634	0.006545	0.000012	BS_YD4Z11NZ		
kfdrc-harmonization/sd-46sk55a3	alignment-BS_YD4Z11NZ	PAIR	841321264	841321264	1	0	839376216	0.997688	124496228981	818049809	121490159441	117457225720	0	0.006319	0.006213	0.00017	150	837431168	0.997683	5746352	0.006846	0	0.499737	0.006244	0.000008	BS_YD4Z11NZ		
kfdrc-harmonization/sd-46sk55a3	alignment-BS_YD4Z11NZ	FIRST_OF_PAIR	420660632	420660632	1	0	420640032	0.999951	62751190931	410090971	61228099892	60046741492	0	0.004126	0.004037	0.000173	150	418715584	0.995425	3825100	0.009094	0	0.499839	0.005944	0.000004	BS_YD4Z11NZ	GMKFWC.CDH6-4M-1_2AMP	
kfdrc-harmonization/sd-46sk55a3	alignment-BS_YD4Z11NZ	SECOND_OF_PAIR	420660632	420660632	1	0	418736184	0.995425	61745038050	407958838	60262059549	57410484228	0	0.008547	0.008423	0.000167	150	418715584	0.999951	1921252	0.004588	0	0.499634	0.006545	0.000012	BS_YD4Z11NZ	GMKFWC.CDH6-4M-1_2AMP	
kfdrc-harmonization/sd-46sk55a3	alignment-BS_YD4Z11NZ	PAIR	841321264	841321264	1	0	839376216	0.997688	124496228981	818049809	121490159441	117457225720	0	0.006319	0.006213	0.00017	150	837431168	0.997683	5746352	0.006846	0	0.499737	0.006244	0.000008	BS_YD4Z11NZ	GMKFWC.CDH6-4M-1_2AMP	
kfdrc-harmonization/sd-46sk55a3	alignment-BS_X637HYXX	FIRST_OF_PAIR	437688403	437688403	1	0	437624076	0.999853	64785188592	410546962	61082336209	59330536104	0	0.005635	0.004948	0.00022	150	434145200	0.992051	13582672	0.031037	0	0.499441	0.027985	0.000004	BS_X637HYXX		
kfdrc-harmonization/sd-46sk55a3	alignment-BS_X637HYXX	SECOND_OF_PAIR	437688403	437688403	1	0	434209527	0.992052	63009877094	406517859	59464626644	55440464860	0	0.010936	0.010227	0.000211	150	434145200	0.999852	10168123	0.023418	0	0.498603	0.028673	0.000018	BS_X637HYXX		
kfdrc-harmonization/sd-46sk55a3	alignment-BS_X637HYXX	PAIR	875376806	875376806	1	0	871833603	0.995952	127795065686	817064821	120546962853	114771000964	0	0.008248	0.007552	0.000216	150	868290400	0.995936	23750795	0.027242	0	0.499024	0.028328	0.000011	BS_X637HYXX		
kfdrc-harmonization/sd-46sk55a3	alignment-BS_X637HYXX	FIRST_OF_PAIR	437688403	437688403	1	0	437624076	0.999853	64785188592	410546962	61082336209	59330536104	0	0.005635	0.004948	0.00022	150	434145200	0.992051	13582672	0.031037	0	0.499441	0.027985	0.000004	BS_X637HYXX	GMKFWC.CDH6-6F-1_2AMP	
kfdrc-harmonization/sd-46sk55a3	alignment-BS_X637HYXX	SECOND_OF_PAIR	437688403	437688403	1	0	434209527	0.992052	63009877094	406517859	59464626644	55440464860	0	0.010936	0.010227	0.000211	150	434145200	0.999852	10168123	0.023418	0	0.498603	0.028673	0.000018	BS_X637HYXX	GMKFWC.CDH6-6F-1_2AMP	
kfdrc-harmonization/sd-46sk55a3	alignment-BS_X637HYXX	PAIR	875376806	875376806	1	0	871833603	0.995952	127795065686	817064821	120546962853	114771000964	0	0.008248	0.007552	0.000216	150	868290400	0.995936	23750795	0.027242	0	0.499024	0.028328	0.000011	BS_X637HYXX	GMKFWC.CDH6-6F-1_2AMP	
kfdrc-harmonization/sd-46sk55a3	alignment-BS_WN5JE25Y	FIRST_OF_PAIR	452618299	452618299	1	0	452579894	0.999915	67246657607	424663916	63335569633	62075401523	0	0.005065	0.004398	0.00022	150	450337551	0.995045	13081001	0.028903	0	0.49983	0.027981	0.000002	BS_WN5JE25Y		
kfdrc-harmonization/sd-46sk55a3	alignment-BS_WN5JE25Y	SECOND_OF_PAIR	452618299	452618299	1	0	450375956	0.995046	65793938316	421499329	62017263406	58615122842	0	0.010951	0.010242	0.000212	150	450337551	0.999915	10877063	0.024151	0	0.498848	0.028582	0.000007	BS_WN5JE25Y		
kfdrc-harmonization/sd-46sk55a3	alignment-BS_WN5JE25Y	PAIR	905236598	905236598	1	0	902955850	0.99748	133040595923	846163245	125352833039	120690524365	0	0.007976	0.007289	0.000216	150	900675102	0.997474	23958064	0.026533	0	0.49934	0.028281	0.000005	BS_WN5JE25Y		
